time,open,high,low,close,Volume,Volume
1608883200,612.6660646800001,626.10514858,611.46158568,623.13354048,28615.94090547,26219.086283378118
1608890400,623.3027179200001,644.26381824,611.5581440000001,628.4285589,38201.650667559996,26976.519677205117
1608897600,629.01397905,633.8388305,622.2167944,627.97347844,30943.24124077,26689.924951614616
1608904800,628.2959782400001,633.2690039199999,609.310976,613.06343125,28205.78023722,24959.445810269113
1608912000,613.0567968,624.92129076,605.5593641,615.1565347200001,24732.284504940002,24317.348268909613
1608919200,615.267654,622.17048,611.86210262,619.41401088,19482.527818690003,23921.97786377161
1608926400,619.4112077999999,623.1781115,613.15158316,618.89389056,14599.03312819,23409.719959117112
1608933600,618.4053275,630.054333,615.4541744400001,626.59671945,14177.6613703,22911.223447699613
1608940800,626.84614964,633.1364406,616.7852108,627.2363726799999,19764.14349418,22599.198649118112
1608948000,627.23229645,638.22618054,623.35776,633.8109078599999,21824.3655072,22728.486918759114
1608955200,633.6483290399999,635.30320896,624.59454876,626.25983247,15754.90600639,22223.460189682613
1608962400,625.69885536,631.89009984,620.95005375,624.8613055999999,13950.657135509999,21592.94791143911
1608969600,625.07422264,632.3494520500001,618.64629822,622.609734,19424.80191373,21544.75114427561
1608976800,622.80680721,625.38824538,611.90613036,622.4346507800001,18183.80554806,21693.544502683108
1608984000,622.23088125,628.12683538,619.19399619,623.1573873,21067.803609399998,21680.185055389607
1608991200,622.7937287699999,637.2794,616.2470396699999,628.41632307,37163.21406233001,22502.540662468607
1608998400,628.49726217,655.2808395,625.701191,643.04405013,50131.035357780005,23759.156054588108
1609005600,643.28950816,650.580324,636.0494175199999,644.72024736,21805.13985365,23887.786764903107
1609012800,645.1020939599999,660.6128894999999,633.06768,646.1013225500001,45512.1256882,25487.227781931106
1609020000,646.94122794,658.34337843,623.61530126,636.6463653999999,39805.23366983,26167.26758597011
1609027200,636.80536895,649.4455900099999,629.12823085,641.4858469999999,45286.737358419996,27000.807408617613
1609034400,641.3390780000001,654.41407815,636.48682264,643.17126775,33543.75389132,26767.912569805612
1609041600,643.3387927,650.73691827,638.84883788,645.4380572,20027.06671672,26222.103843603116
1609048800,645.6212775,665.7747096,632.7206775,649.24804611,47607.86924418,27192.208293951117
1609056000,649.53174908,657.06593054,632.1753759999999,646.69569474,41381.73912569,28024.68102498862
1609063200,646.80428379,661.17762406,609.35212,638.01188,66609.29286766,30381.019277437113
1609070400,637.8533591199999,655.8782095400001,612.55946349,648.1061756,68567.67366761,33079.45130440812
1609077600,647.94977772,701.56991922,640.90690795,697.56263023,165922.70827528,40666.703649657116
1609084800,697.53528234,727.1380049999999,677.8237482,688.4579987999999,107067.36618848001,45031.86478437211
1609092000,688.40263163,712.01702132,680.23449782,705.52868266,38731.95764043,45877.244391033615
1609099200,704.7538108,706.67357515,656.1299700000001,678.1499452799999,63308.82921987,48254.940551707616
1609106400,678.10474344,697.8601212799999,671.7375000000001,684.2463971999999,47675.46093328,49941.180741596116
1609113600,683.8616463799999,724.3343436900001,677.2089732,706.128141,87028.92449775,53321.38687079712
1609120800,705.55824702,711.8888448,693.2051228,702.77397588,37959.13854489,54310.153520638625
1609128000,702.6782085000001,719.06365986,690.8077232,713.2535536199999,39330.51858555,55223.28926944612
1609135200,713.3961800800001,740.70750966,704.3856352,732.52582627,67327.9769261,56731.52741263461
1609142400,732.2701848,743.98075884,722.19075148,732.34423157,80528.75998389,58251.413643940105
1609149600,731.8012085,737.2994702300001,717.7159025399999,730.67980644,62185.34263942001,60270.4237832286
1609156800,730.70661841,742.01031426,710.65561138,726.35499468,70596.69392625999,61524.652195131595
1609164000,726.4454840999999,742.85597476,722.5121475000001,728.49628979,47610.06743168,61914.89388322409
1609171200,728.382689,748.1496248200001,723.70019748,738.25847128,39461.789761149994,61623.64650336059
1609178400,738.5593443199999,751.46859522,729.66547072,743.67609932,27600.523351980002,61326.48497639359
1609185600,743.26669173,748.4870603700001,723.5069649,726.77690268,28172.241835150002,61733.743732315095
1609192800,726.85665726,738.5860146599999,710.59475718,729.13131897,32749.814126769998,60990.8409764446
1609200000,729.3203146000001,740.91648766,704.705073,717.58383744,39759.11298532999,60909.70966942659
1609207200,717.19419499,723.5937408,698.497432,699.24214476,23551.502243400002,58756.820138213596
1609214400,699.46164738,709.210292,684.41486575,706.24908576,31216.88598357,56889.280754011605
1609221600,706.0386816,715.12116305,698.57075106,708.129424,19913.769698179996,49588.8338251566
1609228800,708.25111345,727.22935822,704.8218369499999,722.2857288399999,24657.03135215,45468.3170833401
1609236000,721.7417117399999,735.64814576,718.491441,730.09528702,20930.57100074,44578.24775135561
1609243200,730.86506751,739.3195098799999,723.78033555,728.8365201600001,21317.630477680003,42478.68781424611
1609250400,729.018768,731.8980482000001,711.98719,718.10385696,22197.39132887,41204.78433402561
1609257600,718.25342425,722.5877616299999,701.45544,720.1614931199999,25398.30604802,38123.25341153911
1609264800,720.2792563200001,732.6988504,718.5095676,729.8172594399999,18664.611231720002,37158.527045880604
1609272000,729.8693452,735.00008,719.8349484400001,724.61953914,20008.245594859996,36192.413396346106
1609279200,724.8916348,740.021135,719.28519033,731.6548399999999,14469.358347219999,33549.48246740211
1609286400,731.6822099999999,751.2218319400001,725.7390354900001,737.0693946,31271.1416665,31086.601551532607
1609293600,737.14191915,749.05893036,725.7050920800001,732.9755269799999,34730.89398636,29713.87911887961
1609300800,733.05960309,739.1752523700001,722.11446,730.6361378,31703.99755971,27769.24430055211
1609308000,731.0215173,746.7457389000001,719.6113899,732.7431153,48783.26062802,27827.90396036911
1609315200,732.3294504,754.25808016,708.07061956,725.66663512,32147.37171953,27462.183058288105
1609322400,725.6224895,735.28172408,717.99014,724.8568151999999,19769.63939207,27070.638860292605
1609329600,724.86076781,733.76850741,714.80865411,724.5574488,18049.0978674,26564.481661905105
1609336800,724.75837425,739.2727763199999,723.94569,733.90774614,19534.92632921,25903.7372720271
1609344000,734.2391457,741.0782687999999,724.94218758,736.70023966,19763.86720288,24903.9749829046
1609351200,736.7123906999999,759.28390923,728.379602,754.28660928,41649.036990270004,25808.8517202481
1609358400,753.75844185,761.31496,736.44181,748.25788224,29456.70462426,25720.8426522826
1609365600,748.20008832,756.61390871,739.06283979,752.2423398,17388.555414989998,25594.5819381231
1609372800,752.52365445,764.5249,720.73790022,737.79464286,38514.183861239995,26287.439563577598
1609380000,737.45483336,749.64919925,732.93936508,743.72575788,17181.37355382,26099.9796912316
